The Kingdom of Myrtana	O Reino de Myrtana
Sleeping Shadowbeast	Besta-da-sombra adormecida
Sick Rats	Ratos Doentes
Sick Rat	Rato Doente
Crystal Golem	Golem de Cristal
Mountain trolls	Trolls da montanha
Mountain troll	Troll da montanha
Dragons	Dragões
Dragon	Dragão
Disturbing Beast	Besta Perturbadora
Weeds	Ervas daninhas
Turnip	Nabo
Swampweed 	Erva-do-pântano
Fire Nettle	Urtiga do Fogo
Fireweed	Erva-de-fogo
Fire Root	Raiz do Fogo
Healing Plant	Planta de Cura
Healing Herb	Erva de Cura
Healing Root	Raiz de Cura
Goblin Berries	Bagas de Goblin
Dragonroot 	Raiz-dracônica
Snapperweed	Erva-de-mordedor
Dark Mushroom	Cogumelo Escuro
Digger Meat	Carne de Escavador
Blue Elder	Ancião Azul
Woodland Berry	Baga do Bosque
Meadow Berry	Baga do Prado
Meadow Knotweed	Erva-nó do Prado
King's Sorrel	Azeda do Rei
River myrtle	Murta do rio
Earth aloe	Babosa da terra
Eastern violet	Violeta oriental
Mule myrtle	Murta do barro
wolfberries	Bagas-de-lobo
Rock Root	Raiz da Pedra
Sun Aloe	Babosa do Sol
Apple	Maçã
Arrazol's legacy	Legado de Arrazol
Arrazola wine	Vinho arrazolano
Beer	Cerveja
Bottle of pure spirit	Garrafa de licor puro
Bottled beer	Cerveja engarrafada
Bread	Pão
Cheese	Queijo
Dark Paladine	Paladino Escuro
Ernesto delicate wine	Vinho delicado do Ernesto
Ernesto dry wine	Vino seco do Ernesto
Ernesto mature wine	Vino maduro do Ernesto
Ernesto's magnum opus	Obra-prima do Ernesto
Fish	Peixe
Fish Soup	Sopa de Peixe
Fried Meat	Carne Frita
Ghost Light	Luz Fantasma
Gin	Gin
Grain nogginfog	Grão Ressacão
Grog	Grog
Ham	Presunto
Honey	Mel
Islander Beer	Cerveja de Ilhéu
Local moonshine	Aguardente local
Milk	Leite
Nordmarian wine	Vinho nordmariano
Perennial Araxos wine	Vinho perene de Araxos
Perennial wine	Vinho perene
Raw Meat	Carne Crua
Rum	Rum
Sailor's Fortune	Fortuna do Marinheiro
Sausage	Salsicha
Snapperweed Oysters	Ostras à Erva-de-mordedor
Stew	Guisado
Strong beer	Cerveja forte
Thekla's Stew	Guisado da Thekla
Vengard Light	Vengard Suave
Water	Água
Wine	Vinho
Mana Essence	Essência de Mana
Mana Extract	Extrato de Mana
Mana Elixir	Elixir de Mana
Essence of Healing	Essência de Cura
Extract of Healing	Extrato de Cura
Elixir of Healing	Elixir de Cura
Elixir of Strength	Elixir de Força
Elixir of Dexterity	Elixir de Destreza
Elixir of Life	Elixir de Vida
Elixir of Spirit	Elixir de Espírito
Speed Potion	Poção de Velocidade
Embarla Firgasto	Embarla Firgasto
Elixir of Magic Potential	Elixir de Potencial Mágico
Dragon Dust	Pó de Dragão
Amulet of Fire	Amuleto de Fogo
Harness Amulet	Amuleto de Contenção
Amulet of Oak Skin	Amuleto de Pele de Carvalho
Amulet of Spiritual Power	Amuleto de Poder Espiritual
Amulet of Ore Skin	Amuleto de Pele de Minério
Amulet of Agility	Amuleto de Agilidade
Amulet of Strength	Amuleto de Força
Amulet of Life	Amuleto de Vida
Amulet of Magic	Amuleto de Magia
Amulet of Power	Amuleto de Poder Espiritual
Amulet of Enlightenment	Amuleto de Esclarecimento
Amber Coast	Costa Âmbar
Bastian's inn	Estalagem do Bastian
Big vineyard/Great vineyard o Valerio's vineyard	Vinhedo Grande ou Vinhedo do Valerio
Bloody Retaliation – Slaughterhouse	Represália Sangrenta - Matadouro
The Broken String (Gerstand's Inn)	O Cordel Quebrado (Estalagem de Gerstand)
Corsair's Hideout – Hotel 	Esconderijo do Corsário - Hotel
Dark Mysteries – Brothel	Mistérios Escuros - Bordel
Dark Paladine – Brewery	Paladino Escuro - Cervejaria
Decision Time – Office	Hora de Decidir - Escritório
Ernesto's Hostelry – Inn	Albergue do Ernesto - Estalagem
Event at Sea – Shipyard	Evento no Mar - Estaleiro
Fire's Calling – Bakery	Chamado do Fogo - Padaria
From the Life of a Thief - Locksmith's Workshop	Experiências de um Ladrão - Chaveiro
Golden Gate - Variety Shop	Portão Dourado - Loja de Variedades
Haven	Refúgio
Helga's tavern	Taverna da Helga
In Exile - Bowyer's Workshop	Em Exílio - Arqueria
Insignia - Tailor Shop	Insígnia - Costureiro
Lagoon – Bathhouse	Laguna - Balneário
Lurkers' Coast	Costa dos Espreitadores
Odyssey – Cartographer	Odisséia - Cartógrafo
Old Town	Cidade Velha
On the Trail of the Beast - Bowyer's Workshop	No Rastro da Besta - Arqueria
Oscar's Inn	Estalagem do Oscar
Payback Time - Pawn Shop	Hora do Troco - Loja de Penhores
Pride of the Islander	Orgulho do Ilhéu
Scoundrel's Haven	Paraíso dos Patifes
Shadows of the Past – Museum	Sombras do Passado - Museu
Shard of the World - Alchemist Shop	Fragmento do Mubdi - Alquimista
The Siren's Wail (Helga's Inn)	O Lamento da Sereia (Estalagem da Helga)
Sisters' Cauldron - Herbalist Workshop	Calderão das Irmãs - Oficina de Herbalista
Small vineyard/Little vineyard o Rita's vineyard	Vinhedo Pequeno ou Vinhedo da Rita
The Great War - Armorer's Workshop	A Grande Guerra - Oficina de Armeiro
The Last Clash - Blacksmith's Workshop	O Último Choque - Oficina de Ferreiro
The Molerat Inn	Estalagem 'A Ratoupeira'
The North Star - Astrology Workshop	A Estrela Polar - Oficina de Astrologia
The Third Warrior - Blacksmith's Workshop	O Terceiro Guerreiro - Oficina de Ferreiro
The Traveller - Variety Shop	O Viajante - Loja de Variedades
Three Sailors - Writing Workshop	Tres Marinheiros - Oficina de Escrita
Urych's kitchen – Canteen	Cozinha do Urych - Cantina
Valley of Gold - Jewelry Workshop	Valle de Ouro - Oficina de Joalheria
Valley of the Dawn - Furniture Store	Vale do Amanhecer - Loja de Móveis
Vineyard	Vinhedo
War of the Elements - Barber's Workshop	Guerra dos Elementos - Oficina de Barbeiro
Charcoal burners' camp	Acampamento dos carvoeiros
Wolf's Den	Toca do Lobo
Tomas brewery	Cervejaria Tomas
Create Golem	Criar Golem
Destroy Undead	Destruir Morto-vivo
Large Fire Storm	Tempestade de Fogo Grande
Small Fire Storm	Tempestade de Fogo Pequena
Ice Wave	Onda de Gelo
Demon	Invocar Demônio
Total Healing	Cura Total
Fire Rain	Chuva de Fogo
Breath of Death	Sopro da Morte
Mass Destruction	Destruição em Massa
Army of Darkness	Exército da Escuridão
Shrink	Encolher
Sheep	Virar Ovelha
Scavenger	Virar Carniceiro
Giant Rat	Virar Rato Gigante
Field Raider	Virar Invade-campos
Wolf	Virar Lobo
Lizard	Virar Lagarto
Snapper	Virar Mordedor
Warg	Virar Warg
Fire Lizard	Virar Lagarto do Fogo
Lurker	Virar Espreitador
Shadowbeast	Virar Besta-da-sombra
Dragon Snapper	Virar Dragão Mordedor
Oblivion	Esquecimento
Holy Missile	Projétil Sagrado
Storm	Tempestade
Dust Devil	Diabo de Poeira
Waterfist	Punho d'água
Ice Lance	Lança de Gelo
Inflate People	Inflar Pessoas
Geyser	Gêiser
Water Wall	Parede d'água
Insect Plague	Praga de Insetos
Insect Swarm	Enxame de Insetos
Root Snare	Armadilha de Raizes
Earthquake	Terremoto
Create Guardian	Criar Guardião
Beliar's Wrath	Ira de Beliar
Steal Energy	Roubar Energia
Cry of the Dead	Clamor dos Mortos
Create Zombie	Criar Zumbi
Summon Mud	Invocar Mud
Light	Luz
Fire Arrow	Flecha de Fogo
Ice Arrow 	Flecha de Gelo
Heal Light Wounds	Curar Feridas Leves
Create Goblin Skeleton	Criar Esqueleto de Goblin
Fireball	Bola de Fogo
Small Lightning	Relâmpago Pequeno
Summon Wolf	Invocar Lobo
Wind Fist	Punho de Vento
Sleep	Dormir
Heal Medium Wounds	Curar Feridas Médias
Lightning	Relâmpago
Large Fireball	Bola de Fogo Grande
Create Skeleton	Criar Esqueleto
Fear	Medo
Ice Block	Bloco de Gelo
Ball Lightning	Bola de relâmpago
Awaken Golem	Despertar Golem
Destroy Undead 	Destruir Morto-vivo
Large Fire Storm	Tempestade de Fogo Grande
Small Fire Storm	Tempestade de Fogo Pequena
Wave of Ice	Onda de Gelo
Summon Demon	Invocar Demônio
Heal Heavy Wounds	Curar Feridas Graves
Rain of Fire	Chuva de Fogo
Breath of Death	Sopro da Morte
Wave of Death	Onda da Morte
Army of Darkness	Exército da Escuridão
Shrink Monster	Encolher Monstro
Brushwood	Pedaços de lenha
Peacekeeper	Pacificador
Peacemaker	Pacificador
Teleportation	Teletransporte
Nordmarians' Mastery	Maestria dos Nordmarianos
Chess Dogmas	Dogmas do Xadrez
Pickled turnip	Nabo em conserva
Beer bread	Pão de cerveja
Pumpkin compote	Compota de abóbora
Honey cookies	Biscoitos de mel
Scavenger and pumpkin shashlik	Sashlik de carniceiro e abóbora
Roasted insects	Insectos torrados
Spicy soup with cabbage	Sopa picante com repolho
Dried fruit compote	Compota de frutas secas
King's sorrel soup	Sopa de azeda do rei
Sweet blueberry bun	Pão doce de mirtilo
River mirt soup	Sopa de murta do rio
Boar stew on wine	Guisado de javali com vinho
Meat mishmash	Mistura de carne
Rat on a stick	Rato num pau
Fish chops with fireweed	Iscas de peixe com erva-de-fogo
Recipe	Receita
Fish fillet with king's sorrel	Filé de peixe com azeda do rei
Hearty leftovers broth	Caldo de sobras farto
The fisherman's cauldron	O caldeirão do pescador
Herb stew	Guisado de ervas
Farmer's sandwich	Sanduíche de fazendeiro
Farmer	Fazendeiro
Bread with meat	Pão com carne
Mushroom Stew	Guisado de cogumelos
Poor Apple Pie	Torta de maçã pobre
Pâté from leftovers	Patê de sobras
Pickled mushrooms	Cogumelos em conserva
Old bread soup	Sopa de pão velho
Mushroom cutlet	Costeleta de cogumelos
Digger meat tripe	Tripa de carne de escavador
Mulled Ghost Light	Luz Fantasma com cobertura
Shepherd's roast marinated in wine	Assado de pastor marinado em vinho
Country scrambled eggs	Ovos mexidos à caipira
Fish in beer batter	Peixe na massa de cerveja
Spicy meat pie	Torta de carne picante
Torta de vegetais e cogumelos	Receita : Torta de vegetais e cogumelos
Fatty stew	Guisado gorduroso
Lifegiving bear stew	Guisado de urso vivificante
Lifegiving	Vivificante
Hunter's Specialty	Especialidade do Caçador
Speed stew	Guisado da velocidade
Smoked herb fish	Peixe defumado com ervas
Meat packs	Carne embalada
Mushroom and herb broth	Caldo de cogumelos e ervas
Berry jam	Geléia de bagas
Bread spread made from dragon root	Pasta de pão feita com raiz-de-dragão
dragon root	raiz-de-dragão
Noodles with goblin berries	Macarrão com bagas de goblin
Quick oysters	Ostras rápidas
Berry compote	Compota de bagas
Raspberry drink	Bebida de framboesa
Raspberry	Framboesa
Grape juice	Suco de uva
Grape	Uva
Raspberry tincture	Tintura de framboesa
Exotic dessert	Sobremesa exótica
Apples in pastry	Pastel de maçã
Spicy Herring	Arenque picante
Fish soup with herbs	Sopa de peixe com ervas
Herbal	herbácea
Herbal troll soup	Sopa de troll herbácea
Martha's Stew	Guisado da Marta
Martha's hearty stew	Guisado farto da Marta
hearty	farto
bullshit	putaria
The Chronicles Of Myrtana: Archolos	As Crônicas de Myrtana: Archolos
GP	PO
LOD	Nível de detalhe
Strength	Força
Dexterity	Destreza
Hitpoints	Pontos de vida
Mana	Mana
Blunt	Contusão
reverb	reverberação
Holy Light	Luz Sagrada
Lesser Healing	Cura Menor
Holy Arrow	Flecha Sagrada
Medium Healing	Cura Média
Harm Evil	Danar o Mal
Greater Healing	Cura Maior
Destroy Evil	Destruir o Mal
Teleport	Teleporte
To Harbor City	Para Cidade Portuária
To Monastery	Para Monastério
To Landowner	Para Latifundiário
To Xardas	Para Xardas
To Pass of Khorinis	Para Passe de Khorinis
To Valley of Mines Pass	Para Passe de Vale das Minas
To Castle	Para Castelo
To Old Demon Tower	Para Torre Velha do Demônio
To Tavern	Para Taverna
Light	Luz
Fire Arrow	Flecha de Fogo
Ice Arrow	Flecha de Gelo
Heal Light Wounds	Curar Feridas Leves
Goblin Skeleton	Invocar Esqueleto de Goblin
Fireball	Bola de Fogo
Small Lightning	Relâmpago Pequeno
Summon Wolf	Invocar Lobo
Wind Fist	Punho de Vento
Sleep	Dormir
Heal Medium Wounds	Curar Feridas Médias
Lightning	Relâmpago
Large Fireball	Bola de Fogo Grande
Skeleton	Invocar Esqueleto
Fear	Medo
Ice Block	Bloco de Gelo
Ball Lightning	Bola de Relâmpago
Create Golem	Criar Golem
Destroy Undead	Destruir Morto-vivo
Large Fire Storm	Tempestade de Fogo Grande
Small Fire Storm	Tempestade de Fogo Pequena
Ice Wave	Onda de Gelo
Demon	Invocar Demônio
Total Healing	Cura Total
Fire Rain	Chuva de Fogo
Breath of Death	Sopro da Morte
Mass Destruction	Destruição em Massa
Army of Darkness	Exército da Escuridão
Shrink	Encolher
Sheep	Virar Ovelha
Scavenger	Virar Carniceiro
Giant Rat	Virar Rato Gigante
Field Raider	Virar Invade-campos
Wolf	Virar Lobo
Lizard	Virar Lagarto
Snapper	Virar Mordedor
Warg	Virar Warg
Fire Lizard	Virar Lagarto do Fogo
Lurker	Virar Espreitador
Shadowbeast	Virar Besta-da-sombra
Dragon Snapper	Virar Dragão Mordedor
Oblivion	Esquecimento
Holy Missile	Projétil Sagrado
Storm	Tempestade
Dust Devil	Diabo de Poeira
Waterfist	Punho d'água
Ice Lance	Lança de Gelo
Inflate People	Inflar Pessoas
Geyser	Gêiser
Water Wall	Parede d'água
Insect Plague	Praga de Insetos
Insect Swarm	Enxame de Insetos
Earthquake	Terremoto
Create Guardian	Criar Guardião
Beliar's Wrath	Ira de Beliar
Steal Energy	Roubar Energia
Cry of the Dead	Clamor dos Mortos
Create Zombie	Criar Zumbi
Summon Mud	Invocar Mud
Transform into Sheep	Transformar-se em Ovelha
Fire Wave	Onda de Fogo
Sacred Shock	Choque Sagrado
Summon Mudturtle	Tartaruga-do-barro
Slowdown	Desaceleração
Telekinesis	Telecinesia
Open Lock	Abrir Fechadura
Acid	Ácido
Summon Snapper	Invocar Mordedor
Summon Bear	Invocar Urso
City Guard	Guarda da Cidade
City Guard	Guarda da Cidade
Novice	Novato
Bandit	Bandido
Orcish Warlord	Orc Senhor da Guerra
Pirate	Pirata
Forest Scavenger	Carniceiro da Floresta
Summoned Zombie	Zumbi Invocado
Pickpocket	Furtar
Potion	Poção
crawler	rastejador
Boostable	Aprimorável
spell	feitiço
self-made	artesanal
Armor piercing	Perfuração de armadura
One-handed weapons	Armas de uma mão
Two-handed weapons	Armas de duas mãos
Sword	Espada
Long Magic Sword	Espada Longa Mágica
Magic Two-Handed Sword	Espada Mágica de Duas Mãos
Pure Ore Magic Blade	Lâmina Mágica de Minério Puro
Heavy Magic Two-Handed Sword	Espada Pesada Mágica de Duas Mãos
Magic Combat Blade	Lâmina Mágica de Combate
Heavy Magic Combat Blade	Lâmina Pesada Mágica de Combate
Magic Blade for Dragons	Lâmina Mágica para Dragões
Ancient Blade for Ancient Beasts	Lâmina Anciã para Bestas Anciãs
Good sword	Espada boa
Fine Longsword	Espada Longa Ótima
Ruby Blade	Lâmina de Rubi
LP	PA
Learning Points	Pontos de Aprendizado
Pick Locks	Arrombar Fechaduras
Acrobatics	Acrobacia
Reptile skins	Peles de réptil
Shadowbeast horns	Chifres de besta-da-sombra
venom glands	glândulas de veneno
Lizard tongues	Línguas de lagarto
Blacksmithing	Ferraria
Brewing potions	Preparando poções
bowmaking	fabricação de arcos
beginner	principiante
Rookie	Iniciante
Fighter	Guerreiro
Master	Mestre
Advanced	Avançado
a lockpick	um arrombador
Innos grants you	Innos concede-lhe
picklocking	arrombar fechaduras
trade goods	mercadorias
Gold nuggets	Pepitas de ouro
Crate	Caixote
Volker's speakers	Oradores do Volker
Vardhal Fortress.	Fortaleza de Vardhal
Cursed Swamp.	Pantâno Amaldiçoado.
The Lurkers' Coast	A Costa dos Espreitadores
Rita's Vineyard	Vinhedo da Rita
Sailor's Retreat	Retiro dos Marinheiros
Royal Mine	Mina Real
Merchant's Guild	Guilda dos Mercadores
Valerio's Vineyard	Vinhedo do Valerio
Bermar's Farm	Fazenda do Bermar
The City of Archolos	A Cidade de Archolos
The Village of Silbach	O Vilarejo de Silbach
Southerner	Sulista
Village of Silbach	Vilarejo de Silbach
Monastery	Mosteiro
Wanted posters	Cartazes de procurados
Traders	Comerciantes
Blacksmithing	Ferraria
Runic Magic	Magia Rúnica
