11/6/22 1:08 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   71707	630567	                    2753826	                      3312828	   891	
Remaining:       	   70016	626001	                    2730507	                      3286574	   880	
Unique:          	   63358	594837	                    2598259	                      3129849	   869	
Unique Remaining:	   61882	590723	                    2577050	                      3105947	   858	


Estatísticas do arquivo individual:

File Name                                                                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_PIR_1303_Cortez_VZ.d.json                      	            13	                13	             12	                       12	        112	            112	         111	                   111	                              494	                                  494	                               487	                                         487	                                592	                                    592	                                 585	                                           585	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_PAL_100_Candac_VZ.d.json                       	             6	                 6	              6	                        6	         62	             62	          62	                    62	                              269	                                  269	                               269	                                         269	                                324	                                    324	                                 324	                                           324	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_7500_Ben_VZ.d.json                        	            21	                21	             18	                       18	        213	            213	         177	                   177	                              950	                                  950	                               798	                                         798	                               1142	                                   1142	                                 957	                                           957	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_6331_Javad_VZ.d.json                      	             8	                 8	              8	                        8	         61	             61	          61	                    61	                              242	                                  242	                               242	                                         242	                                295	                                    295	                                 295	                                           295	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_202_Kessel_VZ.d.json                      	           176	               176	            175	                      175	       1755	           1755	        1750	                  1750	                             7453	                                 7453	                              7439	                                        7439	                               9031	                                   9031	                                9013	                                          9013	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_13708_Loafs_VZ.d.json                     	             5	                 5	              5	                        5	         61	             61	          61	                    61	                              279	                                  279	                               279	                                         279	                                335	                                    335	                                 335	                                           335	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_13706_Tollek_VZ.d.json                    	             4	                 4	              4	                        4	         30	             30	          30	                    30	                              129	                                  129	                               129	                                         129	                                153	                                    153	                                 153	                                           153	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_11301_Ilse_VZ.d.json                      	            18	                18	             14	                       14	        151	            151	         129	                   129	                              686	                                  686	                               583	                                         583	                                819	                                    819	                                 698	                                           698	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_11137_Neral_VZ.d.json                     	             4	                 4	              4	                        4	         42	             42	          42	                    42	                              198	                                  198	                               198	                                         198	                                236	                                    236	                                 236	                                           236	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_11136_Refir_VZ.d.json                     	             5	                 5	              5	                        5	         50	             50	          50	                    50	                              216	                                  216	                               216	                                         216	                                261	                                    261	                                 261	                                           261	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_NONE_11037_Markus_VZ.d.json                    	            34	                34	             32	                       32	        412	            412	         398	                   398	                             1829	                                 1829	                              1773	                                        1773	                               2207	                                   2207	                                2139	                                          2139	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_MIL_6371_Duster_VZ.d.json                      	            70	                70	             68	                       68	        561	            561	         543	                   543	                             2371	                                 2371	                              2290	                                        2290	                               2862	                                   2862	                                2765	                                          2765	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_MIL_6318_Lutz_VZ.d.json                        	            10	                10	              9	                        9	         78	             78	          74	                    74	                              338	                                  338	                               322	                                         322	                                406	                                    406	                                 387	                                           387	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_MIL_6275_Berto_VZ.d.json                       	             7	                 7	              7	                        7	         75	             75	          75	                    75	                              297	                                  297	                               297	                                         297	                                365	                                    365	                                 365	                                           365	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_MIL_4017_Arwid_VZ.d.json                       	            15	                15	             12	                       12	        114	            114	         103	                   103	                              563	                                  563	                               501	                                         501	                                662	                                    662	                                 592	                                           592	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_KDW_203_Riordian_VZ.d.json                     	           173	               173	            161	                      161	       1833	           1833	        1789	                  1789	                             8043	                                 8043	                              7848	                                        7848	                               9704	                                   9704	                                9477	                                          9477	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_DJG_13790_Havard_VZ.d.json                     	            26	                26	             23	                       23	        247	            247	         237	                   237	                              993	                                  993	                               943	                                         943	                               1214	                                   1214	                                1157	                                          1157	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_BAU_730_Uwe_VZ.d.json                          	             4	                 4	              4	                        4	         43	             43	          43	                    43	                              181	                                  181	                               181	                                         181	                                220	                                    220	                                 220	                                           220	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_BAU_6323_Stone_VZ.d.json                       	            79	                79	             78	                       78	        835	            835	         832	                   832	                             3587	                                 3587	                              3576	                                        3576	                               4343	                                   4343	                                4330	                                          4330	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_BAU_2277_Lowell_VZ.d.json                      	             3	                 3	              3	                        3	         30	             30	          30	                    30	                              142	                                  142	                               142	                                         142	                                169	                                    169	                                 169	                                           169	
Scripts/Content/Story/Dialoge/Village/DIA_VLK_15000_Volker_Q105.d.json                     	             3	                 3	              3	                        3	         18	             18	          18	                    18	                               73	                                   73	                                73	                                          73	                                 88	                                     88	                                  88	                                            88	
Scripts/Content/Story/Dialoge/Village/DIA_VLK_13602_TravellingTrader.d.json                	             1	                 1	              1	                        1	          2	              2	           2	                     2	                               11	                                   11	                                11	                                          11	                                 12	                                     12	                                  12	                                            12	
Scripts/Content/Story/Dialoge/Village/DIA_SLD_7705_FASTTRAVEL.d.json                       	            28	                28	             25	                       25	        308	            308	         300	                   300	                             1284	                                 1284	                              1250	                                        1250	                               1564	                                   1564	                                1525	                                          1525	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_6252_Fredrik.d.json                         	           135	               134	            129	                      129	       1394	           1392	        1363	                  1363	                             5954	                                 5944	                              5798	                                        5798	                               7213	                                   7202	                                7032	                                          7032	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13798_BRUCE.d.json                          	             5	                 5	              4	                        4	         10	             10	           7	                     7	                               47	                                   47	                                36	                                          36	                                 52	                                     52	                                  39	                                            39	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13795_Dismas.d.json                         	            24	                24	             24	                       24	        227	            227	         227	                   227	                              975	                                  975	                               975	                                         975	                               1178	                                   1178	                                1178	                                          1178	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13503_Alf.d.json                            	             1	                 1	              1	                        1	          1	              1	           1	                     1	                                9	                                    9	                                 9	                                           9	                                  9	                                      9	                                   9	                                             9	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13415_ManHunter.d.json                      	            15	                15	             13	                       13	         67	             67	          65	                    65	                              296	                                  296	                               283	                                         283	                                348	                                    348	                                 335	                                           335	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13414_ManHunter.d.json                      	             1	                 1	              0	                        0	          4	              4	           0	                     0	                               18	                                   18	                                 0	                                           0	                                 21	                                     21	                                   0	                                             0	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_13359_Garnek.d.json                         	            94	                94	             88	                       88	        619	            619	         604	                   604	                             2637	                                 2637	                              2574	                                        2574	                               3162	                                   3162	                                3090	                                          3090	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_11037_Markus.d.json                         	           186	               186	            170	                      170	       2044	           2044	        1959	                  1959	                             9011	                                 9011	                              8648	                                        8648	                              10873	                                  10873	                               10441	                                         10441	
Scripts/Content/Story/Dialoge/Village/DIA_NONE_11006_Veit.d.json                           	            84	                84	             78	                       78	        670	            670	         654	                   654	                             2870	                                 2870	                              2797	                                        2797	                               3456	                                   3456	                                3373	                                          3373	
Scripts/Content/Story/Dialoge/Village/DIA_MIL_732_Harry.d.json                             	           194	               194	            188	                      188	       1592	           1592	        1575	                  1575	                             6789	                                 6789	                              6703	                                        6703	                               8187	                                   8187	                                8090	                                          8090	
Scripts/Content/Story/Dialoge/Village/DIA_MIL_710_Falkard.d.json                           	           169	               169	            153	                      153	       1339	           1339	        1293	                  1293	                             5698	                                 5698	                              5510	                                        5510	                               6868	                                   6868	                                6650	                                          6650	
Scripts/Content/Story/Dialoge/Village/DIA_MIL_709_Kipper.d.json                            	           127	               126	            115	                      115	       1089	           1086	        1044	                  1044	                             4677	                                 4666	                              4508	                                        4508	                               5638	                                   5625	                                5436	                                          5436	
Scripts/Content/Story/Dialoge/Village/DIA_MIL_708_Dickon.d.json                            	            67	                67	             63	                       63	        566	            566	         553	                   553	                             2394	                                 2394	                              2342	                                        2342	                               2894	                                   2894	                                2833	                                          2833	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_732_Pete.d.json                              	            11	                11	             10	                       10	         51	             51	          48	                    48	                              215	                                  215	                               203	                                         203	                                256	                                    256	                                 242	                                           242	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_731_Maik.d.json                              	            43	                43	             43	                       43	        376	            376	         376	                   376	                             1596	                                 1596	                              1596	                                        1596	                               1929	                                   1929	                                1929	                                          1929	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_730_Uwe.d.json                               	            57	                57	             56	                       56	        463	            463	         461	                   461	                             1898	                                 1898	                              1886	                                        1886	                               2304	                                   2304	                                2291	                                          2291	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_729_Nob.d.json                               	           121	               121	            114	                      114	       1023	           1023	        1002	                  1002	                             4145	                                 4145	                              4049	                                        4049	                               5047	                                   5047	                                4937	                                          4937	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_728_Otho.d.json                              	           146	               146	            137	                      137	       1152	           1152	        1122	                  1122	                             4517	                                 4517	                              4410	                                        4410	                               5525	                                   5525	                                5397	                                          5397	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_726_Rik.d.json                               	           146	               146	            137	                      137	       1078	           1078	        1045	                  1045	                             4492	                                 4492	                              4368	                                        4368	                               5418	                                   5418	                                5270	                                          5270	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_724_Paulus.d.json                            	            35	                35	             31	                       31	        208	            208	         192	                   192	                              942	                                  942	                               867	                                         867	                               1115	                                   1115	                                1028	                                          1028	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_722_Rasco.d.json                             	           130	               130	            122	                      122	        952	            952	         933	                   933	                             3975	                                 3975	                              3886	                                        3886	                               4797	                                   4797	                                4697	                                          4697	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_721_Severin.d.json                           	            31	                31	             27	                       27	        171	            171	         160	                   160	                              675	                                  675	                               624	                                         624	                                815	                                    815	                                 757	                                           757	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_719_Baker.d.json                             	            10	                10	             10	                       10	         92	             92	          92	                    92	                              387	                                  387	                               387	                                         387	                                469	                                    469	                                 469	                                           469	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_718_Jens.d.json                              	            27	                27	             24	                       24	        192	            192	         182	                   182	                              781	                                  781	                               736	                                         736	                                946	                                    946	                                 894	                                           894	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_717_Finja.d.json                             	            58	                58	             54	                       54	        521	            521	         482	                   482	                             2100	                                 2100	                              1945	                                        1945	                               2563	                                   2563	                                2373	                                          2373	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_715_Farmer.d.json                            	            10	                10	             10	                       10	         48	             48	          48	                    48	                              201	                                  201	                               201	                                         201	                                239	                                    239	                                 239	                                           239	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_714_Remy.d.json                              	            56	                56	             52	                       52	        512	            512	         498	                   498	                             2110	                                 2110	                              2050	                                        2050	                               2569	                                   2569	                                2499	                                          2499	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_713_Osvald.d.json                            	           132	               132	            121	                      121	       1157	           1157	        1115	                  1115	                             4878	                                 4878	                              4706	                                        4706	                               5905	                                   5905	                                5702	                                          5702	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_712_Stone.d.json                             	            65	                65	             58	                       58	        585	            585	         570	                   570	                             2444	                                 2444	                              2383	                                        2383	                               2964	                                   2964	                                2895	                                          2895	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_711_Thorsten.d.json                          	            93	                93	             87	                       87	        839	            839	         817	                   817	                             3477	                                 3477	                              3375	                                        3375	                               4223	                                   4223	                                4105	                                          4105	
Scripts/Content/Story/Dialoge/Village/DIA_BAU_706_Lokvar.d.json                            	           261	               261	            240	                      240	       2081	           2081	        2004	                  2004	                             9240	                                 9240	                              8923	                                        8923	                              11060	                                  11060	                               10687	                                         10687	
